Наименование предмета,Автор,Музей,Идентификатор музея,КОПУК музея,ИНН музея,Items,Дата создания предмета (строка),Место создания,Items,Место находки,Строковое описание размеров,Описание,Количество составляющих,Изображение,Регистрационный номер Госкаталога,Дата регистрации записи.,Инвентарный номер,Номер по ГИК,Внутренний идентификатор,Собственник,Тип предмета,Вес,Единица измерения веса,Ширина,Высота,Длина,Единица измерения размера,Идентификатор эпохи создания предмета,Эпоха создания предмета,Время эпохи,Название эпохи,Интервал времени создания предмета (начало),Интервал времени создания предмета (окончание),"Точность задания времени (день, месяц, год, век, эпоха).",URL предмета на сайте музея,Ключевые слова,Краткое описание истории бытования (провенанс) предмета,Идентификатор статуса предмета,Типология,Идентификатор типологии,Типология (строковое описание).,Причина исключения,Основание для регистрации предмета,Бюджет,Часть музейного фонда,Порядок управления,Предмет в музейной системе,Музейная система
Нижний конец левой лопатки слона или мастодонта.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"32,5х24,9 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33383009""}]",28855718,2021-04-20T05:36:34.479Z,,СГМЗ ОФ 8273,29019236,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Позвонки ископаемого слонообразного. Неоген.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"8,1х20 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33383010""}]",28855717,2021-04-20T05:36:34.479Z,,СГМЗ ОФ 8745/2,29019237,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Фрагмент кости ископаемого слонообразного.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"17,4х11,8х18 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33383012""}]",28855716,2021-04-20T05:36:34.479Z,,СГМЗ ОФ 8751/2,29019238,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Фрагмент кости ископаемого слонообразного.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"22,2х18,6 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33383013""}]",28855715,2021-04-20T05:36:34.479Z,,СГМЗ ОФ 8751/4,29019239,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Фрагмент кости ископаемого слонообразного.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"12,2х6,1 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33383014""}]",28855714,2021-04-20T05:36:34.479Z,,СГМЗ ОФ 8751/1,29019240,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Кость ископаемого слонообразного. Неоген.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,59х16 см,,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/33383064""}]",28855763,2021-04-20T05:40:38.495Z,,СГМЗ ОФ 8753,29019263,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Жук. Коробка N191. Отряд жуки - Coleoptera. Семейство ложнослоники - Anthribidае. Род - Anthribus,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,,,,,,,1,,7542322,2017-03-29T07:43:59.305Z,,КП 22542/308,7668735,,,,,,,,,,,,,,,YEAR,,,,6,предметы естественнонаучной коллекции,10,предметы естественнонаучной коллекции ,,,федеральный,,,,
Жук. Коробка N191. Отряд жуки - Coleoptera. Семейство ложнослоники - Anthribidае. Род - Plаtyrrhinus,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,,,,,,,1,,7542168,2017-03-29T07:43:59.305Z,,КП 22542/305,7668808,,,,,,,,,,,,,,,YEAR,,,,6,предметы естественнонаучной коллекции,10,предметы естественнонаучной коллекции ,,,федеральный,,,,
Жук. Коробка N191. Отряд жуки - Coleoptera. Семейство ложнослоники - Anthribidае. Род - Plаtyrrhinus,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,,,,,,,1,,7542238,2017-03-29T07:43:59.305Z,,КП 22542/306,7668900,,,,,,,,,,,,,,,YEAR,,,,6,предметы естественнонаучной коллекции,10,предметы естественнонаучной коллекции ,,,федеральный,,,,
Жук. Коробка N191. Отряд жуки - Coleoptera. Семейство ложнослоники - Anthribidае. Род - Anthribus,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,,,,,,,1,,7542101,2017-03-29T07:43:59.305Z,,КП 22542/310,7668956,,,,,,,,,,,,,,,YEAR,,,,6,предметы естественнонаучной коллекции,10,предметы естественнонаучной коллекции ,,,федеральный,,,,
Жук. Коробка N191. Отряд жуки - Coleoptera. Семейство ложнослоники - Anthribidае. Род - Plаtyrrhinus,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,,,,,,,1,,7542085,2017-03-29T07:43:59.305Z,,КП 22542/304,7668972,,,,,,,,,,,,,,,YEAR,,,,6,предметы естественнонаучной коллекции,10,предметы естественнонаучной коллекции ,,,федеральный,,,,
